year,error,rewards_earned
01,0.4268173041503854,-550.0
02,0.3058701065632869,625.0
03,0.4117539819241245,-800.0
04,0.44629750510207655,-775.0
05,0.33897604369340933,-575.0
06,0.30404205669394885,24800.0
07,0.3455466026515029,9425.0
08,0.35362421911392045,-450.0
09,0.3110050749823116,-450.0
10,0.3898571921714335,-675.0
11,0.3320380788148812,4475.0
12,0.33083825719695,225.0
13,0.3714826463698912,3200.0
14,0.353798677154442,1975.0
15,0.39939669475673273,-925.0
16,0.3001634290572331,-475.0
17,0.38181489276807706,-650.0
18,0.3346611188599745,3375.0
19,0.37882481692484,-25.0
20,0.30652085127715306,-475.0
2020,0.31012686997891187,50125.0
21,0.33236093458480637,-400.0
22,0.34766213981891697,825.0
23,0.34456687316418166,-400.0
24,0.3722041223469168,-450.0
25,0.3987518630403988,4025.0
26,0.2933927999981962,-125.0
27,0.3382030348494079,-450.0
28,0.3263243793119465,425.0
29,0.31642946506708747,5575.0
30,0.36011444478861027,-300.0
31,0.5192374770603595,-200.0
